Country,Total_MismanagedPlasticWaste_2010_millionT,Total_MismanagedPlasticWaste_2019_millionT,,Year,Global_plastics_production_million_tonnes,,country_name,total_msw_total_msw_generated_tons_year,population_population_number_of_people
Kenya,22658,289917,,,,,"Iran, Islamic Rep.",17885000,80277424
Kiribati,3045,74,,,,,Iraq,13140000,36115648
Kuwait,11489,2640,,,,,Iceland,225270.4063,343400
Latvia,10284,955,,,,,Israel,5400000,8380100
Lebanon,47815,46622,,,,,Italy,30088400,60297396
Lesotho,0,30391,,,,,Jamaica,1051694.575,2881355
Liberia,56728,39930,,,,,Jordan,2529997,8413464
Libya,52779,188535,,,,,Japan,42720000,126529104
Lithuania,3479,1037,,,,,Kazakhstan,4659740,16791424
Macau,698,14749,,,,,Kenya,5595099,41350152
Madagascar,34522,25250,,,,,Kyrgyz Republic,1113300,5956900
Malaysia,936818,814454,,,,,Cambodia,1089000,15270790
Maldives,31469,60,,,,,Kiribati,35723.8275,114395
Malta,2620,259,,,,,St. Kitts and Nevis,32892.14,54288
Marshall Islands,3187,16,,,,,"Korea, Rep.",20452776,51606632
Martinique,749,139,,,,,Kuwait,1750000,2998083
Mauritania,13854,20796,,,,,Lao PDR,351900,6663967
Mauritius,56051,299,,,,,Lebanon,2040000,5603279
Mexico,101343,430614,,,,,Liberia,564466.7,3512932
Micronesia,4794,447,,,,,Libya,2147596.472,6193501
Monaco,62,5,,,,,St. Lucia,77616.228,177206
Montenegro,4416,16,,,,,Liechtenstein,32382,36545
Montserrat,38,0,,,,,Sri Lanka,2631650,21203000
Morocco,310126,295488,,,,,Lesotho,73457,1965662
Mozambique,45995,434432,,,,,Lithuania,1315390.375,2786844
Myanmar,458269,434432,,,,,Luxembourg,490337.75,619896
Namibia,5480,20892,,,,,Latvia,839714.375,1912789
Nauru,554,0,,,,,"Macao SAR, China",377942,612167
Netherlands,27700,15233,,,,,St. Martin (French part),15479.5,30959
Netherlands Antilles,416,0,,,,,Morocco,6852000,34318080
New Caledonia,472,0,,,,,Monaco,46000,37783
New Zealand,9286,1714,,,,,Moldova,3981200,3554108
Nicaragua,84415,110862,,,,,Madagascar,3768759.16,24894552
Nigeria,851493,1948950,,,,,Maldives,211505.78,409163
Niue,4,0,,,,,Mexico,53100000,125890952
Norfolk Island,68,0,,,,,Marshall Islands,8614,52793
North Korea,304328,322,,,,,"Macedonia, FYR",626970.375,2082958
Northern Mariana Islands,219,0,,,,,Mali,1937354.44,16006670
Norway,8403,1494,,,,,Malta,348841.1875,502653
Oman,4658,1251,,,,,Myanmar,4677306.529,46095464
Pakistan,480493,1346460,,,,,Montenegro,329780.3125,622227
Palau,716,116,,,,,Mongolia,2900000,3027398
Palestine,5599,2129,,,,,Northern Mariana Islands,32761.4145,54036
Panama,34388,36339,,,,,Mozambique,2500000,27212382
Papua New Guinea,89835,119538,,,,,Mauritania,454000,3506288
Peru,194453,140313,,,,,Mauritius,438000,1263473
Philippines,1883659,4025300,,,,,Malawi,1297844.48,16577147
Poland,15703,14124,,,,,Malaysia,12982685,30228016
Portugal,16402,3818,,,,,Namibia,256729,1559983
Puerto Rico,16517,1293,,,,,New Caledonia,108157.384,278000
Qatar,758,1532,,,,,Niger,1865645.67,8842415
Reunion,847,233,,,,,Nigeria,27614830.07,154402176
Romania,3610,52161,,,,,Nicaragua,1528816.293,5737723
Russia,80759,363389,,,,,Netherlands,8805088,17332850
Saint Helena,96,0,,,,,Norway,4149967.25,5347896
Saint Kitts and Nevis,715,97,,,,,Nepal,1768977.49,28982772
Saint Lucia,6709,4276,,,,,Nauru,6191.7505,13049
Saint Martin,0,8,,,,,New Zealand,3405000,4692700
Saint Pierre and Miquelon,11,0,,,,,Oman,1734885.15,3960925
